description_id,eadid,field,rowid,adj_count,adv_count
78228,TF,scopecontent,TF-04946,2.0,0.0
78245,TF,unittitle,TF-04954,0.0,1.0
78247,TF,unittitle,TF-04955,0.0,1.0
78249,TF,unittitle,TF-04956,0.0,1.0
78251,TF,unittitle,TF-04957,0.0,1.0
78259,TF,unittitle,TF-04961,0.0,1.0
78297,TF,unittitle,TF-04980,0.0,1.0
78299,TF,unittitle,TF-04981,1.0,0.0
78301,TF,unittitle,TF-04982,1.0,0.0
78324,TF,scopecontent,TF-04994,1.0,1.0
78341,TF,unittitle,TF-05002,0.0,1.0
78343,TF,unittitle,TF-05003,1.0,0.0
78345,TF,unittitle,TF-05004,1.0,0.0
78362,TF,scopecontent,TF-05014,4.0,0.0
78367,TF,unittitle,TF-05016,1.0,0.0
78369,TF,unittitle,TF-05017,1.0,0.0
78370,TF,scopecontent,TF-05018,0.0,1.0
78372,TF,scopecontent,TF-05019,0.0,1.0
78375,TF,unittitle,TF-05020,1.0,0.0
78377,TF,unittitle,TF-05021,1.0,0.0
78379,TF,unittitle,TF-05022,1.0,0.0
78381,TF,unittitle,TF-05023,1.0,0.0
78383,TF,unittitle,TF-05024,1.0,0.0
78385,TF,unittitle,TF-05025,1.0,0.0
78387,TF,unittitle,TF-05026,1.0,0.0
78389,TF,unittitle,TF-05027,1.0,0.0
78399,TF,unittitle,TF-05032,1.0,0.0
78403,TF,unittitle,TF-05034,1.0,0.0
