token_lower,count
confidential,2
1983-1996,2
stationary,2
politician,2
1979-1986,2
poorer,2
1978-1983,2
1835-1906,2
1978-79,2
consolidated,2
"""'merchant""",2
hostile,2
conservatory,2
1980-2012,2
hypothetical,2
compatible,2
"""'large""",2
subsituted,2
cockeral,2
illegal,2
plinian,2
stamped,2
1977-2007,2
colloquial,2
sub-group,2
colourful,2
sub-basement,2
structured,2
coming,2
stairs,2
"""'margaret""",2
stronger,2
commentary,2
commissioned,2
ice,2
strctural,2
i-building,2
"""'mediaeval""",2
company,2
storyline,2
contemporaneous,2
cautious,2
1985-86,2
briefly,2
inter-school,2
interactive,2
interchangeable,2
"""'honorary""",2
theoretical,2
briefs,2
1808-1895,2
botanic,2
brian,2
10-storey,2
"""'historic""",2
intermittent,2
think-tank,2
box,2
theatrical,2
"""'immortal""",2
brittle,2
broader,2
the_,2
1991-2001,2
bromide,2
bronze,2
1991-2,2
"""'in""",2
1810-1851,2
bulgarian,2
10-14,2
10-13,2
1991-1998,2
burnt,2
bursary,2
10/a-b,2
introduction,2
1985-87,2
11-17,2
topographic,2
"""'habitual""",2
torn,2
totalitarian,2
1995-2002,2
benzpyrene,2
18-21,2
thumbnail,2
january-february,2
tracked,2
beautful,2
traffic,2
"""'greenwich""",2
jcii/1/3/34-35,2
topic-specific,2
bi-annual,2
bi-lingual,2
11-14,2
1994-2001,2
biblical,2
panoramic,2
1994-1999,2
1994-1996,2
bigger,2
parallel,2
irregular,2
1993-1997,2
1993-1996,2
parliament,2
bleak,2
participant,2
businessman,2
1991-1997,2
inside,2
synthetic,2
characteristic,2
swis-pa-05,2
photolitho,2
09-10,2
sympathetic,2
synonymous,2
indicative,2
terrestrial,2
1988-1992,2
centre,2
induced,2
1988-89,2
ceased,2
photo,2
charitable,2
chartered,2
cheap,2
incorrect,2
phrenological,2
chief,2
1822-3,2
childrens,2
surprising,2
incised,2
1987-1990,2
incandescent,2
1986-87,2
picnic,2
supposed,2
1824-1907,2
1986-1990,2
photgraphic,2
1989-1993,2
1989-1995,2
car-park,2
c-e,2
terminal,2
perennial,2
c/o,2
"""'infrastructure/local""",2
1991-1996,2
performer,2
"""'initial""",2
cam-sac-pa-02,2
1-8,2
1990-1994,2
teflon-coated,2
teeing,2
1-70,2
techical,2
phonetic,2
carcinogenic,2
teaching,2
infirmary,2
carnivorous,2
phase,2
carriageway,2
cartographic,2
taped,2
philanthropic,2
1989-90,2
philosophical,2
catholic,2
tallow,2
regalian,2
inconsistent,2
pre-planning,2
1972-73,2
radio,2
1941-1943,2
especial,2
erotic,2
eric,2
running,2
"""'southern""",2
episodic,2
rapid,2
1944-1949,2
1891-1893,2
1890-1895,2
frozen,2
sabbatical,2
ephemeral,2
french-english,2
freehold,2
"""'table""",2
1899-1966,2
exclusive,2
exceptional,2
forwarded,2
1936-1943,2
ex-labour,2
rocky,2
romantic,2
free-standing,2
1939-1940,2
1899-1904,2
1899-1900,2
foyer,2
ethnic,2
francophone,2
ft,2
"""'social""",2
salary,2
1870s-1900,2
scenic,2
1877-1968,2
puritanical,2
puppy,2
elevated,2
generic,2
1951-2,2
entertaining,2
1870-1958,2
sculptural,2
se,2
publsihed,2
eighteenth-century,2
eighteen,2
scene,2
scant,2
scanned,2
scan,2
g-4,2
quantitative,2
g,2
end,2
sat,2
energetic,2
engaged,2
engagement,2
english-speaking,2
sampled,2
quote,2
ensemble,2
salmon,2
forty,2
exeternal,2
00-03,2
reclusive,2
fixed-term,2
featuring,2
feature-length,2
1922-1923,2
fax,2
"""'why""",2
faulkner-brown,2
redeveloped,2
father,2
fatal,2
fat,2
repetitive,2
1904-1907,2
farming,2
feeble-minded,2
"""'welcome""",2
rigid,2
regulatory,2
regeneration.,2
regimental,2
filming,2
1914-18,2
"""'vibrant""",2
regulated,2
finished,2
1910-1911,2
finland-swedish,2
fictional,2
fibrous,2
first-floor,2
first-hand,2
feverish,2
fancy,2
reprinted,2
reproductive,2
"""'this""",2
real-life,2
extra-curricular,2
retired,2
"""bird's-eye""",2
1930-1931,2
foremost,2
reviewed,2
reprographic,2
form,2
1900-1902,2
experian,2
fortieth,2
"""'tall""",2
fortunate,2
extra-parliamentary,2
extract,2
resulting,2
extraordinary,2
font,2
"""'to""",2
1902-1903,2
follow,2
fable,2
respectful,2
respectable,2
"""'top""",2
1903-1904,2
rebellious,2
reserved,2
fair,2
